matname,bandgap,totd,fom
mp-27228_Tl6Si2O7,2.3663000000000003,12.144206333333335,28.736835446566673
mp-27253_Au2O3,1.9444000000000004,10.041632666666667,19.52495055706667
mp-27275_Li3BO3,9.2524,6.860138333333334,63.47274391533334
mp-27303_NaAg3O2,1.7442000000000002,9.444078333333332,16.472361429
mp-27345_Na3BiO4,3.1330999999999998,10.969560666666666,34.36873052473333
mp-27484_Tl2O,0.6478999999999999,33.11973766666666,21.458278034233324
mp-27539_La2ReO5,2.2658000000000005,19.913119000000002,45.119145030200016
mp-27559_Na14Cd2O9,3.9581999999999997,7.815766666666666,30.936367619999995
mp-27562_Na2Pd3O4,1.2553,12.378917666666666,15.539255346966668
mp-27564_Na4B2O5,8.1116,6.41032,51.99795171199999
mp-27624_CaV2O6,4.9144,11.236941999999999,55.222827764799995
mp-27684_Tl4O3,1.2295000000000007,41.54423933333333,51.07864226033336
mp-27704_K3V5O14,3.7500999999999998,17.693880333333333,66.35382063803333
mp-27716_KTlO,2.1795999999999998,10.117436,22.051963505599996
mp-27742_K2CdO2,3.5434,9.968093,35.3209407362
mp-27791_SrBe3O4,7.0367,8.896048666666667,62.59882565273333
mp-27911_BiAsO4,4.956,30.873907666666668,153.01108639600002
mp-27914_Na3BiO3,4.9333,7.035984,34.7106198672
mp-27915_K2BeO2,6.2717,8.107034,50.844885137800006
mp-27927_NbAlO4,5.4792,12.458294666666667,68.2614881376
mp-27931_Rb2SnO2,3.8567000000000005,9.558758666666668,36.86526454973334
mp-28109_SbAsO3,4.780200000000001,11.813093,56.46894715860001
mp-28150_BaNb2O6,3.9921,77.22202833333334,308.27805930950007
